,incident_key,occur_date,occur_time,boro,loc_of_occur_desc,loc_classfctn_desc,murder,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,newgeoreferencedcolumn,zipcodes,date_time
787,265966828,03/31/2023,02:18:00,QUEENS,OUTSIDE,HOUSING,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,BLACK,POINT (-73.910388 40.754926),14787.0,2023-03-31 02:18:00
788,261543381,01/07/2023,07:10:00,BROOKLYN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,F,BLACK,POINT (-73.917957 40.670304),13516.0,2023-01-07 07:10:00
789,263357363,02/09/2023,09:25:00,BROOKLYN,INSIDE,HOUSING,Y,UNKWOWN,UNKWOWN,UNKWOWN,45-64,M,BLACK HISPANIC,POINT (-74.005219 40.673924),13514.0,2023-02-09 09:25:00
790,263482954,02/12/2023,03:30:00,BRONX,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,F,BLACK,POINT (-73.843099 40.841322),11270.0,2023-02-12 03:30:00
791,261948977,01/14/2023,16:30:00,MANHATTAN,OUTSIDE,HOUSING,N,18-24,M,BLACK,18-24,M,BLACK HISPANIC,POINT (-73.988116 40.772266),12420.0,2023-01-14 16:30:00
792,262316278,01/21/2023,14:50:00,QUEENS,OUTSIDE,STREET,N,18-24,M,BLACK,18-24,M,BLACK,POINT (-73.781735 40.682091),24669.0,2023-01-21 14:50:00
793,262443110,01/24/2023,22:58:00,BRONX,INSIDE,HOUSING,Y,18-24,M,BLACK,25-44,M,BLACK,POINT (-73.906377 40.832218),10934.0,2023-01-24 22:58:00
794,265354835,03/19/2023,23:48:00,BRONX,INSIDE,COMMERCIAL,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.850098 40.903785),11608.0,2023-03-19 23:48:00
795,261579696,01/08/2023,03:52:00,QUEENS,OUTSIDE,STREET,N,25-44,M,BLACK,25-44,M,BLACK,POINT (-73.815915 40.689451),24015.0,2023-01-08 03:52:00
796,263401452,02/10/2023,16:24:00,QUEENS,OUTSIDE,HOUSING,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.933414 40.772921),16859.0,2023-02-10 16:24:00
797,263891837,02/18/2023,21:10:00,MANHATTAN,OUTSIDE,STREET,N,25-44,M,WHITE HISPANIC,25-44,M,BLACK,POINT (-73.940318 40.791406),12426.0,2023-02-18 21:10:00
798,262699985,01/29/2023,19:01:00,MANHATTAN,OUTSIDE,HOUSING,N,UNKWOWN,UNKWOWN,UNKWOWN,<18,M,BLACK,POINT (-73.959195 40.81445),12424.0,2023-01-29 19:01:00
799,264658457,03/06/2023,21:25:00,BROOKLYN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.88002193 40.66314008),17215.0,2023-03-06 21:25:00
800,265354390,03/19/2023,01:48:00,BRONX,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,WHITE HISPANIC,POINT (-73.88722 40.855379),10936.0,2023-03-19 01:48:00
801,265005885,03/12/2023,18:13:00,BRONX,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,WHITE HISPANIC,POINT (-73.888282 40.835548),11269.0,2023-03-12 18:13:00
802,265681415,03/25/2023,14:07:00,BROOKLYN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,BLACK,POINT (-73.89619649 40.66922726),17214.0,2023-03-25 14:07:00
803,264657997,03/06/2023,21:13:00,BRONX,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.856618 40.898562),11275.0,2023-03-06 21:13:00
804,262328362,01/22/2023,14:14:00,BRONX,OUTSIDE,STREET,N,25-44,M,BLACK,25-44,M,BLACK HISPANIC,POINT (-73.914371 40.854737),10931.0,2023-01-22 14:14:00
805,262334288,01/21/2023,21:17:00,BROOKLYN,OUTSIDE,STREET,Y,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.931618 40.626762),13825.0,2023-01-21 21:17:00
806,262586366,01/26/2023,18:23:00,BROOKLYN,OUTSIDE,STREET,N,25-44,M,BLACK,25-44,M,BLACK,POINT (-73.902874 40.645639),13827.0,2023-01-26 18:23:00
807,263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,STREET,N,25-44,M,WHITE HISPANIC,45-64,M,BLACK,POINT (-73.892569 40.846117),10935.0,2023-02-10 14:29:00
808,262318300,01/21/2023,17:52:00,BRONX,OUTSIDE,VEHICLE,N,<18,M,WHITE HISPANIC,<18,M,BLACK,POINT (-73.88032931 40.82130126),11611.0,2023-01-21 17:52:00
809,263429756,02/10/2023,18:20:00,QUEENS,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,ASIAN / PACIFIC ISLANDER,POINT (-73.777523 40.709302),24332.0,2023-02-10 18:20:00
810,262747864,01/30/2023,02:10:00,MANHATTAN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.920484 40.867904),13092.0,2023-01-30 02:10:00
